Designator,Mid X,Mid Y
RA510,118.32161mm,127.31721mm
RA509,120.32821mm,125.51381mm
RA519,125.56061mm,119.92581mm
RA518,116.89921mm,117.48741mm
RA535,116.87381mm,120.07821mm
UA503,121.27062mm,121.08121mm
RA527,123.45241mm,116.26821mm
RA528,122.18241mm,116.26821mm
RA529,120.96321mm,116.26821mm
RA530,119.71861mm,116.24281mm
UA501,111.8514mm,121.0738mm
RA502,107.85121mm,116.68799mm
RA501,107.85121mm,119.15179mm
RA534,140.18521mm,116.15061mm
RA533,141.42981mm,116.17601mm
RA532,142.64901mm,116.17601mm
RA531,143.91901mm,116.17601mm
UA504,141.73722mm,120.98901mm
RA522,137.34041mm,119.98601mm
RA520,137.36581mm,117.39521mm
RA521,146.02721mm,119.83361mm
RA513,140.79481mm,125.42161mm
RA514,138.78821mm,127.22501mm
RA512,142.44581mm,127.19961mm
RA511,144.17301mm,125.39621mm
RA526,129.86181mm,116.22101mm
RA525,131.10641mm,116.24641mm
RA524,132.32561mm,116.24641mm
RA523,133.59561mm,116.24641mm
UA502,131.41382mm,121.0594mm
RA517,127.01701mm,120.05641mm
RA515,127.04241mm,117.46561mm
RA516,135.70381mm,119.90401mm
RA505,130.47141mm,125.49201mm
RA506,128.46481mm,127.29541mm
RA504,132.12241mm,127.27001mm
RA503,133.84961mm,125.46661mm
DA501,152.30042mm,138.87682mm
FA501,152.32581mm,133.84581mm
RA407,59.70641mm,125.4884mm
RA408,57.97921mm,127.2918mm
RA410,54.32161mm,127.3172mm
RA409,56.32821mm,125.5138mm
RA419,61.56061mm,119.9258mm
RA418,52.89921mm,117.4874mm
RA435,52.87381mm,120.0782mm
UA403,57.27062mm,121.0812mm
RA427,59.45241mm,116.2682mm
RA428,58.18241mm,116.2682mm
RA429,56.96321mm,116.2682mm
RA430,55.71861mm,116.2428mm
UA401,47.85141mm,121.07379mm
RA402,43.85121mm,116.68799mm
RA401,43.85121mm,119.15179mm
RA434,76.18521mm,116.1506mm
RA433,77.42981mm,116.176mm
RA432,78.64901mm,116.176mm
RA431,79.91901mm,116.176mm
UA404,77.73722mm,120.989mm
RA422,73.34041mm,119.986mm
RA420,73.36581mm,117.3952mm
RA421,82.02721mm,119.8336mm
RA413,76.79481mm,125.4216mm
RA414,74.78821mm,127.225mm
RA412,78.44581mm,127.1996mm
RA411,80.17301mm,125.3962mm
RA426,65.86181mm,116.221mm
RA425,67.10641mm,116.2464mm
RA424,68.32561mm,116.2464mm
RA423,69.59561mm,116.2464mm
UA402,67.41382mm,121.0594mm
RA417,63.01701mm,120.0564mm
RA415,63.04241mm,117.4656mm
RA416,71.70381mm,119.904mm
RA405,66.47141mm,125.492mm
RA406,64.46481mm,127.2954mm
RA404,68.12241mm,127.27mm
RA403,69.84961mm,125.4666mm
DA401,88.30042mm,138.87681mm
FA401,88.32582mm,133.84581mm
JP601,219.34002mm,122.73002mm
JP501,155.34001mm,122.73001mm
JP401,91.34001mm,122.73mm
JP301,48.66001mm,20.27mm
JP201,112.66001mm,20.27mm
FA101,179.67421mm,9.15419mm
DA101,179.6996mm,4.12318mm
RA103,198.15041mm,17.5334mm
RA104,199.87761mm,15.73mm
RA106,203.53521mm,15.7046mm
RA105,201.52861mm,17.508mm
RA116,196.29621mm,23.096mm
RA115,204.95761mm,25.5344mm
RA117,204.98301mm,22.9436mm
UA102,200.5862mm,21.9406mm
RA123,198.40441mm,26.7536mm
RA124,199.67441mm,26.7536mm
RA125,200.89361mm,26.7536mm
RA126,202.13821mm,26.779mm
RA111,187.82701mm,17.6038mm
RA112,189.55421mm,15.8004mm
RA114,193.21181mm,15.775mm
RA113,191.20521mm,17.5784mm
RA121,185.97281mm,23.1664mm
RA120,194.63421mm,25.6048mm
RA122,194.65961mm,23.014mm
UA104,190.2628mm,22.011mm
RA131,188.08101mm,26.824mm
RA132,189.35101mm,26.824mm
RA133,190.57021mm,26.824mm
RA134,191.81481mm,26.8494mm
RA101,224.14881mm,23.84821mm
RA102,224.14881mm,26.31201mm
UA101,220.14861mm,21.9262mm
RA130,212.28141mm,26.7572mm
RA129,211.03681mm,26.7318mm
RA128,209.81761mm,26.7318mm
RA127,208.54761mm,26.7318mm
UA103,210.7294mm,21.9188mm
RA135,215.12621mm,22.9218mm
RA118,215.10081mm,25.5126mm
RA119,206.43941mm,23.0742mm
RA109,211.67181mm,17.4862mm
RA110,213.67841mm,15.6828mm
RA108,210.02081mm,15.7082mm
RA107,208.29361mm,17.5116mm
JP101,176.66mm,20.27mm
CA803,157.46186mm,45.86742mm
CA852,159.11032mm,50.1905mm
CA853,125.71542mm,53.26533mm
CA841,124.24222mm,48.36314mm
CA843,123.29988mm,52.67859mm
RA809,157.29676mm,54.60502mm
RA803,163.43086mm,52.78892mm
RA802,119.8678mm,93.95252mm
CA801,121.3156mm,94.00332mm
CA806,156.57032mm,50.5842mm
RA816,149.18248mm,84.93914mm
CA850,140.86477mm,79.93533mm
CA849,139.78527mm,80.91323mm
RA829,135.21327mm,90.89543mm
RA828,140.52187mm,91.22564mm
RA827,151.21448mm,89.39684mm
RA826,151.08748mm,92.80044mm
RA831,151.77328mm,76.08724mm
RA830,151.82408mm,85.25664mm
RA818,138.31888mm,84.0812mm
RA817,143.70328mm,81.90066mm
CA858,137.75327mm,88.03792mm
CA860,147.07507mm,90.73032mm
CA859,151.84948mm,80.54494mm
CA848,134.79338mm,78.94473mm
CA831,138.01997mm,90.24773mm
CA830,149.18327mm,90.89543mm
CA832,149.53887mm,80.45603mm
RA815,142.81428mm,68.97206mm
CA871,131.06393mm,92.75558mm
RA825,122.62678mm,64.74614mm
CA810,136.72379mm,85.90435mm
CA817,133.79468mm,76.42303mm
CA808,127.30498mm,68.71413mm
CA855,127.25623mm,90.91455mm
CA854,127.28164mm,89.13656mm
CA819,136.88069mm,77.86963mm
CA813,140.28889mm,71.39723mm
CA820,138.28229mm,76.37563mm
CA815,138.82389mm,82.41743mm
CA821,136.93609mm,79.85543mm
CA816,147.82313mm,82.95398mm
CA822,137.89947mm,79.92982mm
CA812,128.82079mm,79.79193mm
CA823,135.28509mm,76.35023mm
CA814,136.78728mm,72.91223mm
CA824,140.29277mm,76.40934mm
CA811,128.26928mm,86.42654mm
CA818,137.75327mm,73.92822mm
CA809,147.40448mm,71.08343mm
RA823,122.62678mm,70.71514mm
UA808,131.05728mm,89.90313mm
CA851,119.59148mm,53.18913mm
RA821,122.55058mm,76.68413mm
RA822,122.55058mm,78.46214mm
RA833,122.62678mm,66.52414mm
RA824,122.62678mm,72.49313mm
RA812,136.9187mm,51.308mm
CA840,134.26145mm,49.38875mm
CA839,138.99856mm,56.65823mm
CA838,136.99195mm,55.48983mm
CA837,133.10508mm,56.16094mm
CA836,140.69521mm,56.07794mm
CA835,142.05925mm,55.89115mm
CA834,143.41815mm,56.18325mm
CA833,140.94711mm,53.89214mm
CA829,138.9298mm,48.50501mm
CA828,142.44026mm,48.18225mm
CA827,132.11516mm,47.69964mm
RA813,135.73465mm,48.98235mm
CA865,152.50398mm,56.85264mm
CA869,152.59348mm,52.63398mm
CA868,149.58254mm,55.60283mm
CA870,149.52436mm,51.25222mm
RA836,151.28965mm,48.01372mm
RA840,153.96936mm,52.56539mm
RA838,149.54976mm,58.49122mm
CA804,118.11828mm,48.28693mm
CA802,162.61806mm,50.21082mm
CA807,162.59266mm,48.12802mm
CA805,117.17594mm,52.6024mm
RA801,125.3034mm,96.72112mm
CA847,158.86431mm,95.0468mm
CA863,159.02941mm,97.3074mm
R624,58.38116mm,61.81974mm
C624,101.92946mm,60.17913mm
C605,104.32976mm,58.75904mm
C637,106.64116mm,58.67014mm
C609,97.54796mm,57.15884mm
C607,96.64626mm,60.09254mm
C627,101.75166mm,56.89214mm
C635,102.55176mm,41.28384mm
C634,100.24036mm,41.37274mm
C629,106.47606mm,40.48374mm
C626,106.31096mm,42.82054mm
C625,101.95486mm,51.74633mm
C606,104.35516mm,50.32624mm
C636,106.66656mm,50.23734mm
C610,97.57336mm,48.74565mm
C608,96.67166mm,51.67935mm
C628,101.77706mm,48.45934mm
C826,108.73996mm,66.54943mm
R807,95.62185mm,73.47672mm
R806,108.43615mm,76.25802mm
C810,106.78515mm,66.58062mm
C811,95.64626mm,79.64313mm
C807,100.38435mm,66.55522mm
C813,106.27715mm,80.60142mm
C814,97.71735mm,66.50442mm
C812,100.76535mm,80.60142mm
C809,108.43615mm,72.90522mm
C831,103.62285mm,68.14272mm
C822,102.67035mm,65.51382mm
C816,104.44835mm,65.51382mm
C830,98.25075mm,70.97482mm
C821,95.62185mm,71.92732mm
C815,95.62185mm,70.14932mm
C829,98.25075mm,76.02942mm
C820,95.62185mm,76.98192mm
C818,95.62185mm,75.20392mm
C828,103.47045mm,77.97252mm
C819,104.42295mm,80.60142mm
C817,102.64495mm,80.60142mm
C823,87.26099mm,82.63237mm
C824,86.46089mm,80.29557mm
C827,86.65139mm,75.41877mm
C825,86.46089mm,77.78097mm
R802,92.71256mm,71.12143mm
R805,95.06206mm,67.22253mm
R801,110.70846mm,73.80113mm
C613,58.36265mm,46.19874mm
C602,61.29635mm,47.78624mm
C614,70.69435mm,52.28204mm
C615,68.71315mm,52.25664mm
C630,53.25036mm,67.14104mm
C631,50.65956mm,67.14104mm
C642,60.7205mm,58.46648mm
C641,57.4058mm,57.50382mm
C603,47.08106mm,46.04634mm
C617,50.01476mm,47.63384mm
C616,58.36265mm,51.02474mm
C618,61.29635mm,52.61224mm
C612,58.36265mm,39.79794mm
C611,61.29635mm,41.38544mm
R405,217.55402mm,71.33821mm
C402,215.01592mm,73.30841mm
R406,217.55402mm,66.76621mm
C401,215.01592mm,68.73641mm
C404,199.11601mm,69.36998mm
C405,208.43521mm,69.19218mm
C410,186.09201mm,79.6035mm
C408,188.88601mm,79.8194mm
C409,198.88129mm,77.22921mm
C407,198.74159mm,80.02321mm
C406,210.60411mm,79.2734mm
C403,210.74381mm,76.6572mm
L401,215.91899mm,80.3473mm
D601,54.45916mm,58.78688mm
C801,76.78346mm,69.84614mm
C802,76.24824mm,65.50456mm
R724,43.43585mm,74.92345mm
C724,85.77506mm,100.79373mm
C705,88.17536mm,99.37364mm
C737,90.48676mm,99.28474mm
C709,81.39356mm,97.77344mm
C707,80.49186mm,100.70714mm
C727,85.59726mm,97.50674mm
C735,75.37396mm,93.46295mm
C734,75.28506mm,91.15155mm
C729,76.17406mm,97.38725mm
C726,73.83726mm,97.22215mm
C725,85.80046mm,92.31013mm
C706,88.20076mm,90.89004mm
C736,90.51216mm,90.80114mm
C710,81.41896mm,89.30945mm
C708,80.51726mm,92.24315mm
C728,85.62266mm,89.02314mm
C713,36.87986mm,89.54545mm
C702,35.29236mm,92.47915mm
C714,30.79656mm,101.87715mm
C715,30.82196mm,99.89595mm
C730,53.42816mm,75.77704mm
C731,50.83736mm,75.77704mm
C742,45.30274mm,72.03013mm
C741,41.98804mm,71.06747mm
C703,37.03226mm,78.26385mm
C717,35.44476mm,81.19755mm
C716,32.05386mm,89.54545mm
C718,30.46636mm,92.47915mm
C712,43.28066mm,89.54545mm
C711,41.69316mm,92.47915mm
D701,39.0414mm,72.35053mm
CA173,32.30301mm,64.2046mm
CA172,37.28141mm,47.5422mm
CA171,37.25601mm,57.6514mm
CA152,23.26589mm,17.84022mm
CA151,33.19201mm,35.655mm
C24,169.27481mm,49.0862mm
C23,169.27481mm,51.9818mm
RA207,144.29361mm,17.5116mm
RA208,146.02081mm,15.7082mm
RA210,149.67841mm,15.6828mm
RA209,147.67181mm,17.4862mm
RA219,142.43941mm,23.0742mm
RA218,151.10081mm,25.5126mm
RA235,151.12621mm,22.9218mm
UA203,146.7294mm,21.9188mm
RA227,144.54761mm,26.7318mm
